pincode,state_id,area_code,area_name,region,is_edl,ecom_zone,apex_service,apex_tat,apex_zone,surface_service,surface_tat,surface_zone,dp_service,dp_tat,dp_zone
110088,9,DEL,WAZIRPUR,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110089,9,DEL,"ROHINI SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110090,9,DEL,"JHILMIL INDUSTRIAL AREA",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110091,9,DEL,"MAYUR VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110092,9,DEL,"EAST DELHI",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110093,9,DEL,"JHILMIL INDUSTRIAL AREA",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110094,9,DEL,"JHILMIL INDUSTRIAL AREA",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110095,9,DEL,"JHILMIL INDUSTRIAL AREA",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110096,9,DEL,"MAYUR VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110097,9,DEL,KAPASHERA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110098,9,DEL,"MAYUR VIHAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110100,9,DEL,ANTARIKSH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110101,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110103,9,DEL,"INDRAPRAKASH BLDG",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110104,9,DEL,"INDRAPRAKASH BLDG",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110105,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110106,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110107,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110108,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110109,9,DEL,"INDRAPRAKASH BLDG",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110110,9,DEL,"INDRAPRAKASH BLDG",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110112,9,DEL,"INDRAPRAKASH BLDG",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110113,9,DEL,"INDRAPRAKASH BLDG",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110114,9,DEL,ANTARIKSH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110115,9,DEL,ANTARIKSH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110116,9,DEL,ANTARIKSH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110117,9,DEL,ANTARIKSH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110118,9,DEL,ANTARIKSH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110119,9,DEL,ANTARIKSH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110120,9,DEL,ANTARIKSH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110122,9,DEL,ANTARIKSH,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110124,9,DEL,"INDRAPRAKASH BLDG",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110125,9,DEL,"RAJENDRA PLACE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110301,9,DEL,"EAST DELHI",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110302,9,DEL,"EAST DELHI",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110501,9,DEL,OKHLA,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110502,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110503,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110504,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110505,9,DEL,"NEHRU PLACE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110510,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110511,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110512,9,DEL,"ANTARIKSH BHAVAN",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110601,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110602,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110603,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110604,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110605,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110606,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110607,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110608,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
110609,9,DEL,"SAFDARJUNG ENCLAVE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
111105,9,DEL,"ICICI RTOS",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
111111,9,DEL,"DELHI HUB",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
111112,9,DEL,"RAMA ROAD HUB",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
111113,9,DEL,"DPA COMAILS",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
111115,12,FAR,"FAR COD PROCESSING CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
111116,9,DEL,"COD PROCESSING CENTRE III",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
111117,9,DEL,"COD PROCESSING CENTRE II",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
111118,9,DEL,"COD PROCESSING CENTRE I",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
114145,14,VJY,VIJAYPUR,NORTH,1,C,none,120,NT,none,216,N2,both,72,C
121000,12,FAR,"FAR SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121001,12,FAR,"FARIDABAD NIT",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121002,12,FAR,"FARIDABAD NEHAR PAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121003,12,FAR,"FARIDABAD SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121004,12,FAR,"FAR SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121005,12,FAR,"FAR SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121006,12,FAR,"FARIDABAD NEHAR PAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121007,12,FAR,"FAR SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121008,12,FAR,"FARIDABAD SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121009,12,FAR,"FARIDABAD SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121010,12,FAR,"FARIDABAD SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121011,12,FAR,"FAR SERVICE CENTRE",NORTH,0,A,both,24,NT,both,144,N2,,,
121012,12,FAR,"FARIDABAD NIT",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121013,12,FAR,"FARIDABAD SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121014,12,FAR,"FAR SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121015,12,FAE,"FARIDABAD EXPANSION",NORTH,0,C,both,24,NT,both,96,N2,both,24,B
121101,12,FAR,"FAR SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
121102,12,PWL,PALWAL,NORTH,0,C,both,48,NT,both,96,N2,both,24,B
121103,12,PWL,PALWAL,NORTH,1,C,none,96,NT,none,144,N2,both,24,B
121104,12,FAR,"FAR SERVICE CENTRE",NORTH,1,A,none,72,NT,none,144,N2,,,
121105,12,HDL,HODAL,NORTH,1,B,none,96,NT,none,168,N2,both,24,B
121106,12,HDL,HODAL,NORTH,1,B,none,96,NT,none,168,N2,both,24,B
121107,12,HDE,"HODAL REACH",NORTH,1,C,none,96,NT,none,168,N2,both,24,B
121206,12,FAR,"FAR SERVICE CENTRE",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122001,12,GGN,GURUGRAM,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122002,12,GGN,"DLF CYBER CITY",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122003,12,GGN,GURUGRAM,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122004,12,GGN,GURUGRAM,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122005,12,GGN,GURUGRAM,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122006,12,GGN,GURUGRAM,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122007,12,GGN,GURUGRAM,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122008,12,GGN,"DLF CYBER CITY",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122009,12,GGN,GURUGRAM,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122010,12,GGN,"DLF CYBER CITY",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122011,12,GGN,GURUGRAM,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122012,12,GGN,GURUGRAM,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122015,12,GGN,UDYOGVIHAR,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122016,12,GGN,UDYOGVIHAR,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122017,12,GGN,UDYOGVIHAR,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122018,12,GGN,"SOHANA ROAD S/C",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122019,12,GGN,"SOHANA ROAD S/C",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122022,12,GGN,GURUGRAM,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122050,12,GGN,"LAST MILE MANESAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122051,12,GGN,"LAST MILE MANESAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122052,12,GGN,"LAST MILE MANESAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122098,12,GGN,GURUGRAM,NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122100,29,KKH,KUSHKHERA,NORTH,0,C,both,24,NT,both,96,N2,both,24,B
122101,12,SOY,SOHNA,NORTH,0,C,both,24,NT,both,96,N2,both,24,B
122102,12,SOY,SOHNA,NORTH,0,C,both,24,NT,both,96,N2,both,24,B
122103,12,SOZ,SOHNA,NORTH,0,C,both,24,NT,both,96,N2,both,24,B
122104,12,GBY,"GGN PATAUDI REACH",NORTH,0,C,both,96,NT,both,144,N2,both,24,B
122105,12,GGN,"GURUGRAM PATAUDI",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122106,12,DRH,DARUHERA,NORTH,0,C,both,24,NT,both,96,N2,both,24,B
122107,12,SOZ,SOHNA,NORTH,0,C,both,48,NT,both,120,N2,both,24,B
122222,12,GGN,"GURGAON RTO CARDS",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122413,12,GGN,"GURUGRAM PATAUDI",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122414,29,KKH,KUSHKHERA,NORTH,0,C,both,24,NT,both,96,N2,,,
122502,12,RGY,RAMGARH,NORTH,1,C,none,72,NT,none,168,N2,,,
122503,12,GGN,"GURUGRAM PATAUDI",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122504,12,GBY,"GGN PATAUDI REACH",NORTH,0,C,both,48,NT,both,96,N2,both,24,B
122505,12,GGN,"LAST MILE MANESAR",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
122506,12,GGN,"GURUGRAM PATAUDI",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
123001,12,NRL,NARNAUL,NORTH,1,C,none,72,NT,none,168,N2,both,24,C
123003,12,GGN,"DLF CYBER CITY",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
123021,12,MHG,MAHENDRAGARH,NORTH,1,C,none,72,NT,none,168,N2,both,48,B
123023,29,KOU,KOTPUTALI,NORTH,1,C,none,96,NT,none,144,N2,both,48,C
123024,12,LOH,LOHARU,NORTH,1,C,none,96,NT,none,168,N2,both,48,C
123027,12,MHG,MAHENDRAGARH,NORTH,1,C,none,72,NT,none,168,N2,both,72,B
123028,12,MHG,MAHENDRAGARH,NORTH,1,C,none,96,NT,none,192,N2,both,72,B
123029,12,MHG,MAHENDRAGARH,NORTH,1,C,none,72,NT,none,168,N2,both,48,B
123031,12,MHG,MAHENDRAGARH,NORTH,1,C,none,72,NT,none,168,N2,,,
123034,12,MHG,MAHENDRAGARH,NORTH,1,C,none,72,NT,none,168,N2,both,72,B
123035,12,RGY,RAMGARH,NORTH,1,C,none,72,NT,none,168,N2,,,
123101,12,RWT,REWARI,NORTH,1,C,none,24,NT,none,120,N2,both,24,B
123102,12,RWT,REWARI,NORTH,1,C,none,24,NT,none,120,N2,both,24,B
123103,29,NMR,NEEMRANA,NORTH,1,C,none,72,NT,none,144,N2,both,24,B
123106,12,DRH,DARUHERA,NORTH,0,C,both,24,NT,both,96,N2,both,24,B
123110,12,DRH,DARUHERA,NORTH,0,C,both,24,NT,both,96,N2,both,24,B
123301,12,JHR,JHAJJAR,NORTH,1,C,none,72,NT,none,144,N2,both,24,B
123302,12,JHR,JHAJJAR,NORTH,1,C,none,72,NT,none,144,N2,,,
123303,12,MHG,MAHENDRAGARH,NORTH,1,C,none,72,NT,none,168,N2,both,72,B
123305,12,BHH,BAHADURGARH,NORTH,1,C,none,96,NT,none,192,N2,,,
123401,12,RWT,REWARI,NORTH,0,C,both,24,NT,both,120,N2,both,24,B
123411,12,MHG,MAHENDRAGARH,NORTH,1,C,none,48,NT,none,144,N2,both,72,B
123412,29,NMR,NEEMRANA,NORTH,1,C,none,48,NT,none,120,N2,both,24,B
123413,12,GBY,"GGN PATAUDI REACH",NORTH,0,C,both,48,NT,both,96,N2,both,24,B
123414,12,GGN,"DLF CYBER CITY",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
123501,29,NMR,NEEMRANA,NORTH,0,C,both,24,NT,both,96,N2,both,24,B
123502,12,GGN,"DLF CYBER CITY",NORTH,1,A,none,48,NT,none,120,N2,,,
123504,12,GGN,"GURUGRAM PATAUDI",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
123505,12,GGN,"GURUGRAM PATAUDI",NORTH,1,A,none,72,NT,none,144,N2,both,24,A
123506,12,GGN,"GURUGRAM PATAUDI",NORTH,0,A,both,24,NT,both,96,N2,both,24,A
124001,12,RTK,ROHTAK,NORTH,0,C,both,24,NT,both,120,N2,both,24,B
124010,12,ROK,ROHTAK,NORTH,1,C,none,72,NT,none,168,N2,both,24,C
124021,12,ROK,ROHTAK,NORTH,0,C,both,24,NT,both,120,N2,both,24,C
124102,12,JHR,JHAJJAR,NORTH,1,C,none,72,NT,none,144,N2,both,24,B
124103,12,JHR,JHAJJAR,NORTH,0,C,both,48,NT,none,120,N2,both,24,B
124104,12,JHR,JHAJJAR,NORTH,1,C,none,72,NT,none,144,N2,both,24,B
124105,12,JHR,JHAJJAR,NORTH,1,C,none,72,NT,none,144,N2,both,24,B
124106,12,JHR,JHAJJAR,NORTH,1,C,none,72,NT,none,144,N2,both,24,B
124107,12,JHR,JHAJJAR,NORTH,1,C,none,96,NT,none,168,N2,both,24,B
124108,12,JHR,JHAJJAR,NORTH,0,C,both,24,NT,both,96,N2,both,24,B
124109,12,JHR,JHAJJAR,NORTH,1,C,none,72,NT,none,144,N2,both,24,B
124111,12,MEM,MEHAM,NORTH,1,C,none,72,NT,none,168,N2,both,24,B
124112,12,MEM,MEHAM,NORTH,1,C,none,72,NT,none,168,N2,both,24,B
124129,9,DEL,OKHLA,NORTH,1,A,none,72,NT,none,144,N2,,,
124141,12,JHR,JHAJJAR,NORTH,1,C,none,72,NT,none,144,N2,,,
124142,12,JHR,JHAJJAR,NORTH,1,C,none,72,NT,none,144,N2,,,
124146,12,JHR,JHAJJAR,NORTH,1,C,none,72,NT,none,144,N2,both,24,B
124201,12,JHR,JHAJJAR,NORTH,1,C,none,48,NT,none,120,N2,both,24,B
124202,12,JHR,JHAJJAR,NORTH,1,C,none,72,NT,none,144,N2,,,
124301,12,RTK,ROHTAK,NORTH,1,C,none,72,NT,none,168,N2,,,
124302,12,SOP,SONEPAT,NORTH,1,C,none,96,NT,none,192,N2,,,
124303,12,ROK,ROHTAK,NORTH,1,C,none,24,NT,none,120,N2,both,24,C
124306,9,DEL,"DELHI WAREHOUSE",NORTH,1,A,none,72,NT,none,144,N2,,,
124308,12,RTK,ROHTAK,NORTH,1,C,none,72,NT,none,168,N2,,,
124310,12,SOP,SONEPAT,NORTH,1,C,none,96,NT,none,192,N2,,,
124401,12,ROK,ROHTAK,NORTH,1,C,none,72,NT,none,168,N2,both,24,C
124402,12,SOP,SONEPAT,NORTH,1,C,none,72,NT,none,168,N2,,,
124403,9,DEL,"DELHI WAREHOUSE",NORTH,1,A,none,72,NT,none,144,N2,,,
124404,12,SPL,SAMPLA,NORTH,1,C,none,72,NT,none,168,N2,,,
124406,12,ROK,ROHTAK,NORTH,1,C,none,72,NT,none,168,N2,,,
124408,9,DEL,"DELHI WAREHOUSE",NORTH,1,A,none,72,NT,none,144,N2,,,
124409,9,DEL,"DELHI WAREHOUSE",NORTH,1,A,none,72,NT,none,144,N2,,,
124411,12,ROK,ROHTAK,NORTH,1,C,none,48,NT,none,144,N2,,,
